JOURNAL,edit
LTER The Network News,LTER Network News
LTER Publication,LTER Publication
LTER Network News,LTER Network News
LTER DataBits,LTER Databits
LTER Databits,LTER Databits
Local Environment: International Journal of Justice and Sustainability,Local Environment: International Journal of Justice and Sustainability
Local Environment,Local Environment
Livestock Science,Livestock Science
Livestock Production Science,Livestock Production Science
Linking Species and Ecosystems,Linking Species and Ecosystems
Limnology Oceanography,Limnology and Oceanography
Limnology and Oceanography:Methods,Limnology and Oceanography: Methods
Limnology and Oceanography: Methods,Limnology and Oceanography: Methods
Limnology and Oceanography.,Limnology and Oceanography
"Limnology and Oceanography, Methods",Limnology and Oceanography: Methods
Limnology and Oceanography Methods,Limnology and Oceanography: Methods
Limnology and Oceanography Bulletin,Limnology and Oceanography Bulletin
Limnology and Oceanography-Methods,Limnology and Oceanography: Methods
Limnology and Oceanography,Limnology and Oceanography
Limnology and Oceangraphy,Limnology and Oceanography
Limnology \& Oceanography,Limnology and Oceanography
Limnology  and Oceanography,Limnology and Oceanography
Limnologica,Limnologica
Limnol. Oceanogr.,Limnology and Oceanography
Limnol. Oceanogr,Limnology and Oceanography
Limnol.  Oceanogr.,Limnology and Oceanography
Limnol Oceanog,Limnology and Oceanography
Laterality,Laterality
Landscape Review,Landscape Review
Landscape Journal,Landscape Journal
Landscape Ecology,Landscape Ecology
Landscape Ecol,Landscape Ecology
Landscape and Urban Planning,Landscape and Urban Planning
Land Use Policy,Land Use Policy
Land use change and implications for biodiversity on the Highlands plateau,Land use change and implications for biodiversity on the Highlands plateau
Land Economics,Land Economics
Land Degradation and Rehabilitation,Land Degradation and Rehabilitation
Land Degradation and Development,Land Degradation and Development
Lammi Notes,Lammi Notes
Lamb and Wool Products,Lamb and Wool Products
Lakeline,Lakeline
Lake and Reservoir Management,Lake and Reservoir Management
"L \& S Magazine, College of Letters and Science, Univ. of  Wisconsin-Madison","L and S Magazine, College of Letters and Science, Univ. of  Wisconsin-Madison"
Korean Journal of Ecology,Korean Journal of Ecology
Korean J. Ecol.,Korean Journal of Ecology
"Knoxville, TN: The University of Tennessee, Institute of Agriculture, Department of Forestry, Wildlife, \& Fisheries","Knoxville, TN: The University of Tennessee, Institute of Agriculture, Department of Forestry, Wildlife, and Fisheries"
Kiva,Kiva
Kew Bulletin,Kew Bulletin
Katuah,Katuah
Kansas Water Resources Research Institute Report,Kansas Water Resources Research Institute Report
Kansas Water Resources Research Institute Contribution No,Kansas Water Resources Research Institute Contribution No
Kansas Ornithology Society Bulletin,Kansas Ornithological Society Bulletin
Kansas Ornithological Society Bulletin,Kansas Ornithological Society Bulletin
Kansas Ornithological Society,Kansas Ornithological Society Bulletin
Journal or Arid Environments,Journal of Arid Environments
"Journal of Zoology, London (A)","Journal of Zoology, London (A)"
Journal of Zoology (London),Journal of Zoology (London)
Journal of Zoology,Journal of Zoology
Journal of Wildlife Management,Journal of Wildlife Management
Journal of Wildlife Diseases,Journal of Wildlife Diseases
Journal of Water Resources Development. (HELP),Journal of Water Resources Development
Journal of Water and Health,Journal of Water and Health
Journal of Volcanology and Geothermal Research,Journal of Volcanology and Geothermal Research
Journal of Virology,Journal of Virology
Journal of Vegetation Science,Journal of Vegetation Science
Journal of Vector Ecology,Journal of Vector Ecology
Journal of Tropical Forest Science,Journal of Tropical Forest Science
Journal of Tropical Ecology,Journal of Tropical Ecology
Journal of Theoretical Biology,Journal of Theoretical Biology
Journal of the Torrey Botanical Society.,Journal of the Torrey Botanical Society
Journal of the Torrey Botanical Society,Journal of the Torrey Botanical Society
Journal of the Torrey Botanical  Society,Journal of the Torrey Botanical Society
Journal of the Remote Sensing Society of Japan,Journal of the Remote Sensing Society of Japan
Journal of the North Carolina Academy of Science,Journal of the North Carolina Academy of Science
Journal of the North American Benthological Society.,Journal of the North American Benthological Society
"Journal of the North American Benthological Society, special section on tropical streams",Journal of the North American Benthological Society
Journal of The North American Benthological Society,Journal of the North American Benthological Society
Journal of the North American Benthological Society,Journal of the North American Benthological Society
Journal of the North American  Benthological Society,Journal of the North American Benthological Society
Journal of the New York Entomological Society,Journal of the New York Entomological Society
Journal of the Kansas Entomology Society,Journal of the Kansas Entomological Society
Journal of the Kansas Entomological Society,Journal of the Kansas Entomological Society
Journal of the Japan Society of Hydrology and Water Resources,Journal of the Japan Society of Hydrology and Water Resources
Journal of the Chemical Society Perkin Transactions,Journal of the Chemical Society Perkin Transactions
Journal of the Arizona-Nevada Academy of Sciences,Journal of the Arizona-Nevada Academy of Sciences
Journal of the Arizona-Nevada Academy of Science,Journal of the Arizona-Nevada Academy of Sciences
Journal of the American Water Works Association,Journal of the American Water Works Association
Journal of the American Water Resources Association,Journal of the American Water Resources Association
Journal of the American Veterinary Medical Association,Journal of the American Veterinary Medical Association
Journal of the American Planning Association,Journal of the American Planning Association
Journal of the Air \& Waste Management Association,Journal of the Air and Waste Management Association
Journal of Sustainable Forestry.,Journal of Sustainable Forestry
Journal of Sustainable Forestry,Journal of Sustainable Forestry
Journal of Sustainable Agriculture,Journal of Sustainable Agriculture
Journal of Spatial Science,Journal of Spatial Science
Journal of Spatial Hydrology,Journal of Spatial Hydrology
Journal of Soil Science Society of America,Journal of Soil Science Society of America
Journal of Soil Science,Journal of Soil Science
Journal of Soil Contamination,Journal of Soil Contamination
Journal of Soil and Water Conservation,Journal of Soil and Water Conservation
Journal of Soil \& Water Conservation,Journal of Soil and Water Conservation
Journal of Sedimentary Research,Journal of Sedimentary Research
Journal of Sedimentary Petrology,Journal of Sedimentary Petrology
Journal of Science Caribbean,Journal of Science Caribbean
Journal of Science,Journal of Science
Journal of Research on the Lepidoptera,Journal of Research on the Lepidoptera
Journal of Research in Science Teaching,Journal of Research in Science Teaching
Journal of Regional Science,Journal of Regional Science
Journal of Rangeland Ecology \& Management,Journal of Rangeland Ecology and Management
Journal of Range Management,Journal of Range Management
Journal of Public Health Management and Practice,Journal of Public Health Management and Practice
Journal of Protozoology,Journal of Protozoology
Journal of Policy History,Journal of Policy History
Journal of Plant Nutrition and Soil Science,Journal of Plant Nutrition and Soil Science
Journal of Plant Ecology,Journal of Plant Ecology
Journal of Planning Education and Research,Journal of Planning Education and Research
Journal of Plankton Research,Journal of Plankton Research
Journal of Physical Oceanography,Journal of Physical Oceanography
Journal of Phycology,Journal of Phycology
Journal of Photochemistry and Photobiology B: Biology,Journal of Photochemistry and Photobiology B: Biology
Journal of Photochemistry and Photobiology B-Biology,Journal of Photochemistry and Photobiology B: Biology
Journal of Pesticide Reform,Journal of Pesticide Reform
Journal of Parasitology,Journal of Parasitology
Journal of Paleolimnology,Journal of Paleolimnology
Journal of Oceanography,Journal of Oceanography
Journal of Ocean Technology,Journal of Ocean Technology
Journal of Northern Sciences,Journal of Northern Sciences
Journal of North American Benthological Society,Journal of North American Benthological Society
Journal of North American Benthol Society,Journal of North American Benthological Society
Journal of Nematology,Journal of Nematology
Journal of Nature Conservation,Journal of Nature Conservation
Journal of Natural Products,Journal of Natural Products
Journal of Natural History,Journal of Natural History
Journal of Molluscan Studies,Journal of Molluscan Studies
Journal of Microbiological Methods,Journal of Microbiological Methods
Journal of Medical Entomology,Journal of Medical Entomology
Journal of Mechanical Engineering,Journal of Mechanical Engineering
Journal of Mathematical Modeling and Scientific Computing,Journal of Mathematical Modeling and Scientific Computing
Journal of Marine Systems,Journal of Marine Systems
Journal of Marine Research,Journal of Marine Research
Journal of Marine Biology,Journal of Marine Biology
Journal of Marine and Freshwater Research,Journal of Marine and Freshwater Research
Journal of Mammology,Journal of Mammology
Journal of Mammals,Journal of Mammals
Journal of Mammalogy,Journal of Mammalogy
Journal of Liquid Chromatography,Journal of Liquid Chromatography
Journal of Land Use Science,Journal of Land Use Science
Journal of Land Change Science,Journal of Land Change Science
Journal of Kansas Entomological Society,Journal of Kansas Entomological Society
Journal of Irrigation and Drainage,Journal of Irrigation and Drainage
Journal of Intelligent Information Systems. BDEI Special Series,Journal of Intelligent Information Systems. BDEI Special Series
Journal of Institutional Economics,Journal of Institutional Economics
Journal of Insect Conservation,Journal of Insect Conservation
Journal of Industrial Microbiology and Biotechnology,Journal of Industrial Microbiology and Biotechnology
Journal of Industrial Microbiology,Journal of Industrial Microbiology
Journal of Hydrometeorology,Journal of Hydrometeorology
Journal of Hydrology (1982),Journal of Hydrology
Journal of Hydrology,Journal of Hydrology
Journal of Hydrologic Processes,Journal of Hydrologic Processes
"Journal of Hydrologic Engineering, ASCE","Journal of Hydrologic Engineering, ASCE"
Journal of Hydrologic Engineering ASCE,"Journal of Hydrologic Engineering, ASCE"
Journal of Hydrologic Engineering,"Journal of Hydrologic Engineering, ASCE"
Journal of Historical Geography,Journal of Historical Geography
Journal of Herpetology,Journal of Herpetology
Journal of Heredity,Journal of Heredity
Journal of Harran Uni. Agr. Fac.,Journal of Harran Uni. Agr. Fac.
Journal of Glaciology,Journal of Glaciology
Journal of Georgia Entomological Society,Journal of Georgia Entomological Society
Journal of Geophysics Research,Journal of Geophysics Research
Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans
Journal of Geophysical Research: Biosciences.,Journal of Geophysical Research: Biosciences
Journal of Geophysical Research: Biogeosciences,Journal of Geophysical Research: Biogeosciences
Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres
"Journal of Geophysical Research, Oceans",Journal of Geophysical Research: Oceans
"Journal of Geophysical Research, Biogiosciences",Journal of Geophysical Research: Biogiosciences
Journal of Geophysical Research D: Atmospheres.,Journal of Geophysical Research: Atmospheres
Journal of Geophysical Research D: Atmospheres,Journal of Geophysical Research: Atmospheres
Journal of Geophysical Research Biogeochemistry,Journal of Geophysical Research: Biogeochemistry
Journal of Geophysical Research {\textendash} Biogeosciences,Journal of Geophysical Research: Biogeosciences
Journal of Geophysical Research - Oceans,Journal of Geophysical Research: Oceans
Journal of Geophysical Research - Biosciences,Journal of Geophysical Research: Biosciences
Journal of Geophysical Research - Biogeosciences,Journal of Geophysical Research: Biogeosciences
Journal of Geophysical Research - Atmospheres,Journal of Geophysical Research: Atmospheres
Journal of Geophysical Research-Planets,Journal of Geophysical Research: Planets
Journal of Geophysical Research-Oceans,Journal of Geophysical Research: Oceans
Journal of Geophysical Research-Ocean,Journal of Geophysical Research: Oceans
Journal of Geophysical Research-Earth Surface,Journal of Geophysical Research :Earth Surface
Journal of Geophysical Research-Biogeosciences III,Journal of Geophysical Research: Biogeosciences
Journal of Geophysical Research-Biogeosciences,Journal of Geophysical Research: Biogeosciences
Journal of Geophysical Research-Atmospheres,Journal of Geophysical Research: Atmospheres
Journal of Geophysical Research- Biogeosciences,Journal of Geophysical Research: Biogeosciences
JOURNAL OF GEOPHYSICAL RESEARCH,Journal of Geophysical Research
Journal Of Geophysical Research,Journal of Geophysical Research
Journal of Geophysical Research,Journal of Geophysical Research
Journal of Geophys. Res.,Journal of Geophysical Research
Journal of Geophys. Res,Journal of Geophysical Research
Journal of Gegraphical Systems,Journal of Gegraphical Systems
Journal of Freshwater Ecology,Journal of Freshwater Ecology
Journal of Forestry,Journal of Forestry
Journal of Forest Research,Journal of Forest Research
Journal of Fish Biology,Journal of Fish Biology
Journal of Field Robotics,Journal of Field Robotics
Journal of Field Ornithology,Journal of Field Ornithology
Journal of Field Archaeology,Journal of Field Archaeology
Journal of Experimental Marine Biology and Ecology,Journal of Experimental Marine Biology and Ecology
Journal of Experimental Botany,Journal of Experimental Botany
Journal of Experimental Biology,Journal of Experimental Biology
Journal of Eukaryotic Microbiology,Journal of Eukaryotic Microbiology
Journal of Estuaries and Coasts,Journal of Estuaries and Coasts
Journal of Essential Oil Research,Journal of Essential Oil Research
Journal of Environmental Systems,Journal of Environmental Systems
Journal of Environmental Sciences (China),Journal of Environmental Sciences (China)
Journal of Environmental Sciences,Journal of Environmental Sciences
Journal of Environmental Science and Health,Journal of Environmental Science and Health
Journal of Environmental Quality (book review),Journal of Environmental Quality
Journal of Environmental Quality,Journal of Environmental Quality
Journal of Environmental Planning and Management,Journal of Environmental Planning and Management
Journal of Environmental Monitoring,Journal of Environmental Monitoring
Journal of Environmental Management,Journal of Environmental Management
Journal of Environmental Horticulture,Journal of Environmental Horticulture
Journal of Environmental Engineering,Journal of Environmental Engineering
Journal of Environmental Education,Journal of Environmental Education
Journal of Environmental Economics and Management,Journal of Environmental Economics and Management
Journal of Entomological Science,Journal of Entomological Science
Journal of Engineering for Sustainable Development,Journal of Engineering for Sustainable Development
Journal of Economic Entymology,Journal of Economic Entymology
Journal of Economic Entomology,Journal of Economic Entomology
Journal of Ecology.,Journal of Ecology
Journal of Ecology [J. ECOL.],Journal of Ecology
Journal of Ecology [J. Ecol.],Journal of Ecology
Journal of Ecology,Journal of Ecology
Journal of Ecohydrology \& Hydrobiology,Journal of Ecohydrology and Hydrobiology
Journal of Development Economics,Journal of Development Economics
Journal of Database Management,Journal of Database Management
"Journal of Crop Production, Special Issue on Agroecology","Journal of Crop Production, Special Issue on Agroecology"
Journal of Contemporary Watershed Research \& Education,Journal of Contemporary Watershed Research and Education
"Journal of Computer Supported Cooperative Work: The Journal of Collaborative Computing, Special Issue on Collaboration in e-Research","Journal of Computer Supported Cooperative Work: The Journal of Collaborative Computing, Special Issue on Collaboration in e-Research"
Journal of Comparative Physiology B,Journal of Comparative Physiology B
Journal of Community Development and Society,Journal of Community Development and Society
Journal of College Science Teaching,Journal of College Science Teaching
Journal of Coastal Research,Journal of Coastal Research
Journal of Coastal Conservation,Journal of Coastal Conservation
Journal of Clinical Microbiology,Journal of Clinical Microbiology
Journal of Climatology,Journal of Climatology
Journal of Climate,Journal of Climate
Journal of Chromatography A,Journal of Chromatography A
Journal of Chemical Ecology,Journal of Chemical Ecology
Journal of Career Development,Journal of Career Development
Journal of Business Research,Journal of Business Research
Journal of Biosciences,Journal of Biosciences
Journal of Biological Physics,Journal of Biological Physics
Journal of Biogragraphy,Journal of Biogragraphy
Journal of Biogeography,Journal of Biogeography
Journal of Biogeochemistry,Journal of Biogeochemistry
Journal of Avian Biology,Journal of Avian Biology
Journal of Atmospheric Sciences,Journal of Atmospheric Sciences
Journal of Atmospheric Science,Journal of Atmospheric Science
Journal of Atmospheric Chemistry,Journal of Atmospheric Chemistry
Journal of Atmospheric and Oceanic Technology,Journal of Atmospheric and Oceanic Technology
Journal of Arid Land Studies,Journal of Arid Land Studies
Journal of Arid Environments,Journal of Arid Environments
Journal of Arid Environment,Journal of Arid Environment
Journal of Arid Enviornments,Journal of Arid Enviornments
"Journal of Arctic, Antarctic and Alpine Research","Journal of Arctic, Antarctic and Alpine Research"
Journal of Archaeological Science,Journal of Archaeological Science
Journal of Arboriculture,Journal of Arboriculture
Journal of Arachnology,Journal of Arachnology
Journal of Applied Statistics,Journal of Applied Statistics
Journal of Applied Remote Sensing,Journal of Applied Remote Sensing
Journal of Applied Meterology and Climatology,Journal of Applied Meteorology and Climatology
Journal of Applied Meteorology and Climatology,Journal of Applied Meteorology and Climatology
Journal of Applied Meteorology and Climantology,Journal of Applied Meteorology and Climatology
Journal of Applied Meteorology,Journal of Applied Meteorology
Journal of Applied Entomology,Journal of Applied Entomology
Journal of Applied Ecology [J. APPL. ECOL.],Journal of Applied Ecology
Journal of Applied Ecology,Journal of Applied Ecology
Journal of Applied and Environmental Microbiology,Journal of Applied and Environmental Microbiology
Journal of Animal Science,Journal of Animal Science
Journal of Animal Ecology,Journal of Animal Ecology
Journal of Animal and Veterinary Advances,Journal of Animal and Veterinary Advances
Journal of Analytical and Applied Pyrolysis,Journal of Analytical and Applied Pyrolysis
Journal of Analysis and Purification,Journal of Analysis and Purification
Journal of American Water Works Association,Journal of American Water Works Association
Journal of American Water Resources,Journal of American Water Resource Association
Journal of American Water Resource Association,Journal of American Water Resource Association
Journal of Agronomy and Crop Science,Journal of Agronomy and Crop Science
Journal of Agronomic Education,Journal of Agronomic Education
"Journal of Agriculture, Food Systems, and Community Development","Journal of Agriculture, Food Systems, and Community Development"
Journal of Agriculture and Forest Meteorology,Journal of Agriculture and Forest Meteorology
Journal of Agricultural Entomology,Journal of Agricultural Entomology
Journal of Agricultural and Forest Meteorology,Journal of Agricultural and Forest Meteorology
Journal of Agricultural and Food Chemistry,Journal of Agricultural and Food Chemistry
"Journal of Agricultrual, Biological, and Environmental Statistics","Journal of Agricultrual, Biological, and Environmental Statistics"
Journal of  Wildlife Management,Journal of  Wildlife Management
Journal of  the North American Benthological Society,Journal of  the North American Benthological Society
Journal of  Range Management,Journal of  Range Management
Journal of  Geophysical Research,Journal of  Geophysical Research
Journal of  Ecology,Journal of  Ecology
Journal North America Benthological Society,Journal of North America Benthological Society
Journal Glaciology and Geocryology,Journal Glaciology and Geocryology
Journal Geophysics Research,Journal Geophysics Research
Journal de Physique,Journal de Physique
Journal Bacteriology,Journal Bacteriology
Journal Agricultural Science,Journal Agricultural Science
Journal  of Plant Physiology,Journal  of Plant Physiology
Journal,Journal
Journ. Air Pollut. Contr. Soc,Journ. Air Pollut. Contr. Soc
Jounral of Atmospheric Science,Journal of Atmospheric Science
Jornal of North American Benthological Society,Journal of North American Benthological Society
JGR-Biogeosciences Res. 113.,JGR-Biogeosciences Res. 113.
Jamaican Naturalist,Jamaican Naturalist
J.North American Benthological Society,Journal of North American Benthological Society
J. Wildlife Manage.,Journal of Wildlife Manage.
J. Veg. Sci.,Journal of Veg. Sci.
J. Torrey Bot. Soc.,Journal of Torrey Bot. Soc.
J. Theor. Biol.,Journal of Theor. Biol.
J. Southeastern Biologists.,Journal of Southeastern Biologists.
J. Soil and Water Conservation,Journal of Soil and Water Conservation
J. Range Manage.,Journal of Range Manage.
J. Plankton Research,Journal of Plankton Research
J. Phycol.,Journal of Phycol.
J. Parasitol.,Journal of Parasitol.
J. Ornithology,Journal of Ornithology
J. North Amer. Benthological Soc.,Journal of North Amer. Benthological Soc.
J. North Amer. Benthol. Soc.,Journal of North Amer. Benthol. Soc.
J. N. Amer. Benthol. Soc.,Journal of N. Amer. Benthol. Soc.
J. N. Am. Benthol. Soc.,Journal of N. Am. Benthol. Soc.
J. Microbial Meth.,Journal of Microbial Meth.
J. Mammology,Journal of Mammology
J. Mammalogy,Journal of Mammalogy
J. Mamm.,Journal of Mamm.
J. Hydrometeorology,Journal of Hydrometeorology
J. Hydrology,Journal of Hydrology
J. Hydrol.,Journal of Hydrol.
J. Heredity,Journal of Heredity
J. Ground Water,Journal of Ground Water
J. Geophysical Research (Biogeosciences),Journal of Geophysical Research (Biogeosciences)
J. Geophysical Research,Journal of Geophysical Research
J. Geophys. Res. Oceans,Journal of Geophys. Res. Oceans
J. Geophys. Res.-Biogeosciences,Journal of Geophys. Res.-Biogeosciences
J. Geophys. Res.-Atm,Journal of Geophys. Res.-Atm
J. Geophys. Res.,Journal of Geophys. Res.
J. Geophys. Res,Journal of Geophys. Res
J. Geophys Res.,Journal of Geophys Res.
J. Freshwater Ecol.,Journal of Freshwater Ecol.
J. Forestry,Journal of Forestry
J. Field Ornithology,Journal of Field Ornithology
J. Field Ornithol.,Journal of Field Ornithol.
J. Exp. Mar. Biol. Ecol.,Journal of Exp. Mar. Biol. Ecol.
J. Ethology,Journal of Ethology
J. Environ. Qual.,Journal of Environ. Qual.
J. Environ. Qual,Journal of Environ. Qual
J. Environ. Monitoring,Journal of Environ. Monitoring
J. Ecology,Journal of Ecology
J. Coastal Research.,Journal of Coastal Research.
J. Coastal Research,Journal of Coastal Research
J. Coastal Res.,Journal of Coastal Res.
J. Biogeography,Journal of Biogeography
J. Arid Environments,Journal of Arid Environments
J. Arid Environ.,Journal of Arid Environ.
J. Appl. Geophys.,Journal of Appl. Geophys.
J. Appl. Ecology,Journal of Appl. Ecology
J. Appl. Ecol.,Journal of Appl. Ecol.
J. Animal Ecology,Journal of Animal Ecology
J. Air Pollut. Control Assoc.,Journal of Air Pollut. Control Assoc.
J. Agric. Food Chem.,Journal of Agric. Food Chem.
"J. A. Bissonette, (ed.). Wildlife and Landscape Ecology, Springer, New York.","J. A. Bissonette, (ed.). Wildlife and Landscape Ecology, Springer, New York."
J,J
IUFRO Symposium on Forest Site and Continuous Productivity,IUFRO Symposium on Forest Site and Continuous Productivity
"IUFRO Research Series, Vol. 9, The Quarterly Review of Biolog","IUFRO Research Series, Vol. 9, The Quarterly Review of Biolog"
Issues in Ecology,Issues in Ecology
Israel Journal of Plant Sciences,Israel Journal of Plant Sciences
Isotopes in Environmental and Health Studies,Isotopes in Environmental and Health Studies
ISME Journal,ISME
ISME,ISME
Invertebrates as Webmasters in Ecosystem: New York: CABI Publishing,Invertebrates as Webmasters in Ecosystem: New York: CABI Publishing
Invertebrate Reproduction and Development,Invertebrate Reproduction and Development
Invertebrate Biology,Invertebrate Biology
Introduction to the Study of Meiofauna,Introduction to the Study of Meiofauna
Internationale Vereinigung fur Theoretische und Angewandte Limnologie,Internationale Vereinigung fur Theoretische und Angewandte Limnologie
Internationale Revue der Gesamten Hydrobiologie,Internationale Revue der Gesamten Hydrobiologie
International Society for Microbial Ecology,International Society for Microbial Ecology
International Review of Hydrobiology,International Review of Hydrobiology
International of Journal Remote Sensing,International of Journal Remote Sensing
International Microbiology,International Microbiology
International Journale of Biometeorology,International Journale of Biometeorology
International Journal of Wildland Fire,International Journal of Wildland Fire
International Journal of Wilderness,International Journal of Wilderness
International Journal of the Commons,International Journal of the Commons
International Journal of Sensor Networks,International Journal of Sensor Networks
International Journal of Sediment Research,International Journal of Sediment Research
International Journal of River Basin Management,International Journal of River Basin Management
International Journal of Remote Sensing.,International Journal of Remote Sensing.
International Journal of Remote Sensing,International Journal of Remote Sensing
International Journal of Plant Sciences (special issue),International Journal of Plant Sciences (special issue)
International Journal of Plant Sciences,International Journal of Plant Sciences
International Journal of Plant Science,International Journal of Plant Science
International Journal of Phytoremediation,International Journal of Phytoremediation
"International Journal of Metadata, Semantics, and Ontologies","International Journal of Metadata, Semantics, and Ontologies"
"International Journal of Metadata, Semantics and Ontologies","International Journal of Metadata, Semantics, and Ontologies"
International Journal of Imaging Systems and Technology,International Journal of Imaging Systems and Technology
International Journal of Human and Ecological Risk Assessment,International Journal of Human and Ecological Risk Assessment
International Journal of GIS,International Journal of Geographical Information Science
International Journal of Geographical Information Science,International Journal of Geographical Information Science
International Journal of Forestry Research,International Journal of Forestry Research
International Journal of Ecology and Evironmental Sciences,International Journal of Ecology and Evironmental Sciences
International Journal of Digital Curation,International Journal of Digital Curation
INTERNATIONAL JOURNAL OF CLIMATOLOGY,International Journal of Climatology
International Journal of Climatology,International Journal of Climatology
International Journal of Climatolgy,International Journal of Climatology
International Journal of Biometeorology,International Journal of Biometeorology
International Journal of Astrobiology,International Journal of Astrobiology
International Journal of Applied Earth Observation and Geoinformation,International Journal of Applied Earth Observation and Geoinformation
International Journal of,International Journal of
International Journal for Numerical Methods in Fluids,International Journal for Numerical Methods in Fluids
International Conference on the Role of the Polar Regions in Global Climate Change,International Conference on the Role of the Polar Regions in Global Climate Change
"International conference on ecology and transportation; 2003 August 24-29; Lake Placid, NY","International conference on ecology and transportation; 2003 August 24-29; Lake Placid, NY"
International Association of Theoretical and Applied Limnology,International Association of Theoretical and Applied Limnology
International Archives of Photogrammetry and Remote Sensing,International Archives of Photogrammetry and Remote Sensing
Internat. Verein. Limnol.,Internat. Verein. Limnol.
Internat. J. Environ. Anal. Chem.,International Journal of Environ. Anal. Chem.
Intermountain Journal of Sciences,Intermountain Journal of Sciences
Interdisciplinary Studies in Literature and Environment [ISLE],Interdisciplinary Studies in Literature and Environment [ISLE]
Interciencia,Interciencia
Intelligent Information Systems,Intelligent Information Systems
Integrative and Comparative Biology,Integrative and Comparative Biology
Integrated Environmental Assessment and Management,Integrated Environmental Assessment and Management
Int. J. Remote Sensing,International Journal of Remote Sensing
Int. J. of Plant Sci.,International Journal of Plant Science
Insectes Sociaux,Insectes Sociaux
Inoculum,Inoculum
Inland Waters,Inland Waters
Information Systems Journal,Information Systems Journal
Industrial Crisis Quarterly,Industrial Crisis Quarterly
"In: H. Olff, V. K. Brown, and R. Drent, (eds). Herbivores: Between Plants and Predators","In: H. Olff, V. K. Brown, and R. Drent, (eds). Herbivores: Between Plants and Predators"
In Vitro Cellular and Developmental Biology - Plant,In Vitro Cellular and Developmental Biology - Plant
In Vitro Cellular and Developmental Biology-Plant,In Vitro Cellular and Developmental Biology - Plant
In Vitro Cellular and Development Biology - Plants,In Vitro Cellular and Developmental Biology - Plant
in The scientific basis for silvicultural and management decisions in the national forest system,in The scientific basis for silvicultural and management decisions in the national forest system
In Technical Bulletin,In Technical Bulletin
"in Smith, D. D. and C. A. Jacobs, Eds., Proceedings of the Twelfth North American Prairie Conference. University of Northern Iowa Press, Cedar Falls, IA.","in Smith, D. D. and C. A. Jacobs, Eds., Proceedings of the Twelfth North American Prairie Conference. University of Northern Iowa Press, Cedar Falls, IA."
In Research Report 142,In Research Report 142
"in R. F. Barnes, D. A. Miller and C. J. Nelson, Eds., Forages: Volume 1: An Introduction to Grassland Agriculture. Iowa State University Press.","in R. F. Barnes, D. A. Miller and C. J. Nelson, Eds., Forages: Volume 1: An Introduction to Grassland Agriculture. Iowa State University Press."
"in R. B. Floyd, A. W. Sheppard, and P. J. De Barro, Eds. Frontiers of Population Ecology","in R. B. Floyd, A. W. Sheppard, and P. J. De Barro, Eds. Frontiers of Population Ecology"
"in P. W. Price, W. J. Mattson, and Y. N. Baranchikov, Eds., The Ecology and Evolution of Gall-forming Insects. U.S. Dept. of Agriculture, Forest Service, North Central Forest Experiment Station. St. Paul, MN.","in P. W. Price, W. J. Mattson, and Y. N. Baranchikov, Eds., The Ecology and Evolution of Gall-forming Insects. U.S. Dept. of Agriculture, Forest Service, North Central Forest Experiment Station. St. Paul, MN."
"in Michner, W. K., editor. Research Data Management in the Ecological Sciences. Belle W. Baruch Library in Marine Science, No. 16, University of South Carolina Press.","in Michner, W. K., editor. Research Data Management in the Ecological Sciences. Belle W. Baruch Library in Marine Science, No. 16, University of South Carolina Press."
"In McCullough, D. R., Barrett, R., Eds. Wildlife 2001: Populations. Elsevier Press, London","In McCullough, D. R., Barrett, R., Eds. Wildlife 2001: Populations. Elsevier Press, London"
"in M. J. Klug and C. A. Reddy, Eds., Current Perspectives in Microbial Ecology, Amer. Soc. Microbiol., Washington, D.C.","in M. J. Klug and C. A. Reddy, Eds., Current Perspectives in Microbial Ecology, Amer. Soc. Microbiol., Washington, D.C."
In M,In M
"in Kareiva, P. M., J. G. Kingsolver, and R. B. Juey, Eds., Biotic Interactions and Global Change, Sinauer Associates, Sunderland, MA","in Kareiva, P. M., J. G. Kingsolver, and R. B. Juey, Eds., Biotic Interactions and Global Change, Sinauer Associates, Sunderland, MA"
"in J. Roughgarden, R. M. May and S. A. Levin, Eds., Perspectives in Ecological Theory","in J. Roughgarden, R. M. May and S. A. Levin, Eds., Perspectives in Ecological Theory"
"in J. Grace and D. Tilman, Eds., Perspectives on Plant Competition.","in J. Grace and D. Tilman, Eds., Perspectives on Plant Competition."
"in J. Grace and D. Tilman, Eds., Perspectives on Plant Competition, Academic Press, New York.","in J. Grace and D. Tilman, Eds., Perspectives on Plant Competition, Academic Press, New York."
"in G. E. Likens, Ed., Long-Term Studies in Ecology.Springer-Verlag, 1989.","in G. E. Likens, Ed., Long-Term Studies in Ecology.Springer-Verlag, 1989."
in Emory Magazine,in Emory Magazine
"in D. Tilman and P. Kareiva, eds., Spatial Ecology: The Role of Space in Population Dynamics and Interspecific Interactions. Princeton University Press, New Jersey.","in D. Tilman and P. Kareiva, eds., Spatial Ecology: The Role of Space in Population Dynamics and Interspecific Interactions. Princeton University Press, New Jersey."
